patient_id,name,ssn,phone,email,diagnosis_code,bill_amount
P-0071,Patient 71,496-33-7928,555-0171,patient71@example.com,A01,49555
P-0072,Patient 72,466-89-9769,555-0172,patient72@example.com,A01,22821
P-0073,Patient 73,147-59-6800,555-0173,patient73@example.com,A01,37248
P-0074,Patient 74,721-81-2946,555-0174,patient74@example.com,A01,38230
P-0075,Patient 75,837-82-5260,555-0175,patient75@example.com,A01,3556
P-0076,Patient 76,991-16-4144,555-0176,patient76@example.com,A01,8185
P-0077,Patient 77,618-15-4194,555-0177,patient77@example.com,A01,21446
P-0078,Patient 78,687-22-9045,555-0178,patient78@example.com,A01,38203
P-0079,Patient 79,845-83-7162,555-0179,patient79@example.com,A01,32470
P-0080,Patient 80,142-82-4106,555-0180,patient80@example.com,A01,41999
P-0081,Patient 81,204-84-4930,555-0181,patient81@example.com,A01,35990
P-0082,Patient 82,521-52-8501,555-0182,patient82@example.com,A01,23675
P-0083,Patient 83,375-71-3429,555-0183,patient83@example.com,A01,27030
P-0084,Patient 84,618-94-5701,555-0184,patient84@example.com,A01,11405
P-0085,Patient 85,730-82-1078,555-0185,patient85@example.com,A01,40567
P-0086,Patient 86,794-30-6473,555-0186,patient86@example.com,A01,33363
P-0087,Patient 87,287-63-5835,555-0187,patient87@example.com,A01,38384
P-0088,Patient 88,314-54-9858,555-0188,patient88@example.com,A01,32344
P-0089,Patient 89,590-74-1481,555-0189,patient89@example.com,A01,23466
P-0090,Patient 90,329-41-3987,555-0190,patient90@example.com,A01,35170
P-0091,Patient 91,400-92-8382,555-0191,patient91@example.com,A01,42158
P-0092,Patient 92,435-89-8665,555-0192,patient92@example.com,A01,1411
P-0093,Patient 93,180-93-5270,555-0193,patient93@example.com,A01,29540
P-0094,Patient 94,819-44-9124,555-0194,patient94@example.com,A01,17257
P-0095,Patient 95,268-36-4865,555-0195,patient95@example.com,A01,44443
P-0096,Patient 96,894-29-8457,555-0196,patient96@example.com,A01,33721
P-0097,Patient 97,271-33-3475,555-0197,patient97@example.com,A01,4151
P-0098,Patient 98,801-58-5601,555-0198,patient98@example.com,A01,26383
P-0099,Patient 99,366-86-1543,555-0199,patient99@example.com,A01,16319
